event_id,is_anomaly,anomaly_type,severity,explanation
EVT005250,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT001489,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT005662,false,,,
EVT006424,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT003962,false,,,
EVT007394,false,,,
EVT001315,false,,,
EVT001091,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT005328,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT007280,false,,,
EVT002179,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT002757,false,,,
EVT005683,false,,,
EVT006775,false,,,
EVT005494,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT001255,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT005279,false,,,
EVT007393,false,,,
EVT004595,false,,,
EVT007211,false,,,
EVT007419,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT007300,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT005954,false,,,
EVT005789,false,,,
EVT001565,false,,,
EVT005501,false,,,
EVT002127,false,,,
EVT005482,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT004860,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT002986,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT007351,false,,,
EVT002105,false,,,
EVT003960,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT004788,false,,,
EVT003008,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT005145,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT007162,false,,,
EVT005097,false,,,
EVT003294,false,,,
EVT001177,false,,,
EVT004261,false,,,
EVT006709,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT002219,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT007000_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT004626,false,,,
EVT005036,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT000222,false,,,
EVT000690,false,,,
EVT_ONCALL_005837,false,,,
EVT005172,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT006278,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT004842,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT001123,false,,,
EVT002998,false,,,
EVT001680,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT002165,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT000636,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT000540,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT004097,false,,,
EVT000587,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT000846,false,,,
EVT007045,false,,,
EVT004373,false,,,
EVT003543,false,,,
EVT005890,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT001092_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT003280,false,,,
EVT004381,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT007073,false,,,
EVT002948,false,,,
EVT001070,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT002108,false,,,
EVT000100,false,,,
EVT002967,false,,,
EVT007014,false,,,
EVT001890,false,,,
EVT005792,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT003253,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT005164,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT003587,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT003582_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT006778,false,,,
EVT003757,false,,,
EVT005968,false,,,
EVT006227,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT003018,false,,,
EVT001747,false,,,
EVT002271,false,,,
EVT005765,false,,,
EVT000429_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT006861,false,,,
EVT004242,false,,,
EVT004803,false,,,
EVT002511,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT007258,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT005195,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT006507,false,,,
EVT004320,false,,,
EVT006862,false,,,
EVT005566,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT004266,false,,,
EVT001267,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT004486,false,,,
EVT005706,false,,,
EVT005003,false,,,
EVT006458,false,,,
EVT003080,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT003277,false,,,
EVT003852,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT003912,false,,,
EVT007015,false,,,
EVT007470,false,,,
EVT007076,false,,,
EVT000441,false,,,
EVT001298,false,,,
EVT004538,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT006401,false,,,
EVT004110,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT006344,false,,,
EVT004494,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT002195,false,,,
EVT006269,false,,,
EVT006871,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT007223,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT006551,false,,,
EVT003371,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT003512,false,,,
EVT002634,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT000219,false,,,
EVT004416,false,,,
EVT005104,false,,,
EVT005335,false,,,
EVT002620,false,,,
EVT003057,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT003062,false,,,
EVT003240_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT007396,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT001522,false,,,
EVT006484,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT005159,false,,,
EVT004013,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT004827,false,,,
EVT006639,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT002513,false,,,
EVT004243,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT001032,false,,,
EVT006311,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT002214,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT006710,false,,,
EVT003334,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT001707,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT004821,false,,,
EVT002158,false,,,
EVT006970,false,,,
EVT002837,false,,,
EVT005401,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT002362,false,,,
EVT005304,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT006733,false,,,
EVT001472,false,,,
EVT000549,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT004857,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT002270,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT007463,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT005540,false,,,
EVT001612,false,,,
EVT002405,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT006942,false,,,
EVT003440,false,,,
EVT001487,false,,,
EVT004693,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT004954,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT007189,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT001087,false,,,
EVT005851,false,,,
EVT006489,false,,,
EVT005385,false,,,
EVT003658,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT005839,false,,,
EVT004032,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT003634,false,,,
EVT007197,false,,,
EVT006163_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT002995,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT005641,false,,,
EVT004669,false,,,
EVT004187,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT006467,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT001461,false,,,
EVT000508,false,,,
EVT005018,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT005747,false,,,
EVT005247,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT002553_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT005648,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT004207,false,,,
EVT001524,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT003974,false,,,
EVT006809,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT002093,false,,,
EVT001141,false,,,
EVT000181,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT004746,false,,,
EVT005651,false,,,
EVT005409,false,,,
EVT007284,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT003980,false,,,
EVT006743,false,,,
EVT000002,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT004577,false,,,
EVT000361,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT000861,false,,,
EVT002275,false,,,
EVT006372,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT003645,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT007224,false,,,
EVT001369,false,,,
EVT006536,false,,,
EVT000424,false,,,
EVT005588,false,,,
EVT005831,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT000447,false,,,
EVT005150,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT000771,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT003917,false,,,
EVT006077,false,,,
EVT006579,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT001381,false,,,
EVT003019,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT001143,false,,,
EVT004721,false,,,
EVT004123,false,,,
EVT006049,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT000717,false,,,
EVT007151,false,,,
EVT004352,false,,,
EVT002402,false,,,
EVT004158,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT006854,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT000162_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT002079,false,,,
EVT003680,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT004247,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT005055,false,,,
EVT000210,false,,,
EVT006494,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT001731,false,,,
EVT005349,false,,,
EVT007039,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT001957,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT002868,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT002709,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT001842,false,,,
EVT003897,false,,,
EVT007354,false,,,
EVT001927,false,,,
EVT004318,false,,,
EVT004806,false,,,
EVT004432,false,,,
EVT005074,false,,,
EVT002140,false,,,
EVT004335,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT001623,false,,,
EVT005553,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT003752,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT006037,false,,,
EVT006606,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT005834,false,,,
EVT005229,false,,,
EVT003299,false,,,
EVT001709,false,,,
EVT001216,false,,,
EVT003754,false,,,
EVT003164,false,,,
EVT006699,false,,,
EVT000529,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT000248,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT004917,false,,,
EVT004313,false,,,
EVT004672_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT003032,false,,,
EVT004681_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT002320,false,,,
EVT006304,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT005943,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT000949,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT001110,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT006593,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT003605,false,,,
EVT005586,false,,,
EVT005874,false,,,
EVT000842,false,,,
EVT002289,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT000920,false,,,
EVT004199,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT001455,false,,,
EVT001986,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT003279,false,,,
EVT006828,false,,,
EVT003597,false,,,
EVT003103,false,,,
EVT007314,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT006349,false,,,
EVT005722,false,,,
EVT004869,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT005998,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT005578_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT001941,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT006398,false,,,
EVT002393,false,,,
EVT000043,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT005877,false,,,
EVT006182,false,,,
EVT000040,false,,,
EVT006511,false,,,
EVT003248,false,,,
EVT003050,false,,,
EVT004946,false,,,
EVT005927,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT005878,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT000862,false,,,
EVT002966,false,,,
EVT006521,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT006045,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT007217,false,,,
EVT005893,false,,,
EVT007303,false,,,
EVT005988,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT001898,false,,,
EVT002592,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT002688,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT004830,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT001355,false,,,
EVT004665,false,,,
EVT000947,false,,,
EVT005604,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT001939,false,,,
EVT003086,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT000367,false,,,
EVT004513,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT006981,false,,,
EVT002130,false,,,
EVT003187,false,,,
EVT007186,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT003730,false,,,
EVT005821_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT004698,false,,,
EVT002133,false,,,
EVT006283,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT007323,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT006396,false,,,
EVT001668,false,,,
EVT004752,false,,,
EVT005931,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT006337,false,,,
EVT006644,false,,,
EVT000666,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT004298,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT004367,false,,,
EVT001738,false,,,
EVT006559,false,,,
EVT003615,false,,,
EVT001749,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT000940,false,,,
EVT000736,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT000208,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT007288,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT005119,false,,,
EVT002964,false,,,
EVT002954,false,,,
EVT002493,false,,,
EVT002361,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT000649_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT003498,false,,,
EVT002348,false,,,
EVT001922,false,,,
EVT003810,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT003859,false,,,
EVT000494,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT003736,false,,,
EVT001102,false,,,
EVT007090,false,,,
EVT004711,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT004386,false,,,
EVT004931,false,,,
EVT001410,false,,,
EVT006314,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT001745,false,,,
EVT002876,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT001926,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT006739,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT006789,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT000475,false,,,
EVT002795,false,,,
EVT001609,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT000022,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT007238,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT004644,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT000882,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT001344,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT002026,false,,,
EVT001763,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT002701,false,,,
EVT005073,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT006753,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT002435,false,,,
EVT006081,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT003930,false,,,
EVT000773,false,,,
EVT002210,false,,,
EVT006234,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT000481,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT005856,false,,,
EVT001666,false,,,
EVT001347,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT002714,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT000588,false,,,
EVT001108,false,,,
EVT002844,false,,,
EVT006307,false,,,
EVT006140,false,,,
EVT001200,false,,,
EVT004292,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT006855,false,,,
EVT006637,false,,,
EVT004633,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT000196,false,,,
EVT004983,false,,,
EVT005896,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT004375,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT004084,false,,,
EVT000366,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT001600,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT002602,false,,,
EVT002200,false,,,
EVT005248,false,,,
EVT005241,false,,,
EVT003100,false,,,
EVT000007,false,,,
EVT005425,false,,,
EVT006031,false,,,
EVT006046,false,,,
EVT003769,false,,,
EVT004090,false,,,
EVT001210,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT002925,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT002610,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT004020_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT004061,false,,,
EVT001979,false,,,
EVT005311,false,,,
EVT004677,false,,,
EVT001599,false,,,
EVT005632,false,,,
EVT003419,false,,,
EVT004799,false,,,
EVT002265,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT003116,false,,,
EVT005754,false,,,
EVT003988,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT005663,false,,,
EVT000033,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT007379,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT000765,false,,,
EVT000640,false,,,
EVT002499,false,,,
EVT003402,false,,,
EVT001570,false,,,
EVT002343,false,,,
EVT006807,false,,,
EVT007153_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT002673,false,,,
EVT000867,false,,,
EVT000195,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT004055_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT003069,false,,,
EVT001136,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT003463,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT003977,false,,,
EVT006306,false,,,
EVT000622,false,,,
EVT007338,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT000934,false,,,
EVT000558,false,,,
EVT003076,false,,,
EVT003851,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT006979,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT002574,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT005188,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT001036,false,,,
EVT001373,false,,,
EVT006199,false,,,
EVT003090,false,,,
EVT004060,false,,,
EVT004093,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT005740,false,,,
EVT004049,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT001950,false,,,
EVT005922,false,,,
EVT007142,false,,,
EVT006983,false,,,
EVT002001,false,,,
EVT007031,false,,,
EVT001760,false,,,
EVT007291,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT002175,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT001449,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT005217,false,,,
EVT006535,false,,,
EVT005761,false,,,
EVT003584,false,,,
EVT002238,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT005728,false,,,
EVT004384_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT000006,false,,,
EVT001390,false,,,
EVT005585,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT001491,false,,,
EVT005526,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT004191,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT007150,false,,,
EVT003855,false,,,
EVT003800,false,,,
EVT007320,false,,,
EVT000053,false,,,
EVT003566,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT006592,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT003957,false,,,
EVT003865,false,,,
EVT002775,false,,,
EVT007026,false,,,
EVT001470,false,,,
EVT004115,false,,,
EVT002006,false,,,
EVT004813,false,,,
EVT001863,false,,,
EVT005940,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT002494,false,,,
EVT004222,false,,,
EVT006041,false,,,
EVT006187,false,,,
EVT002468,false,,,
EVT004175,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT002894,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT004376,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT001546,false,,,
EVT006937,false,,,
EVT006231,false,,,
EVT002412,false,,,
EVT001516,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT001224,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT000420,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT005858,false,,,
EVT003234,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT003759,false,,,
EVT006890,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT007469,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT001558,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT000319,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT005746,false,,,
EVT001820,false,,,
EVT003166,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT007096,false,,,
EVT000037,false,,,
EVT002628,false,,,
EVT001099,false,,,
EVT007079,false,,,
EVT003259,false,,,
EVT005449,false,,,
EVT000263,false,,,
EVT001930,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT000650_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT001330,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT004284,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT001398,false,,,
EVT007198,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT007297,false,,,
EVT007334,true,privilege_escalation,HIGH,Anomalous event: privilege_escalation
EVT005974,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT001781,false,,,
EVT000888,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT001802,false,,,
EVT000898,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT000781,false,,,
EVT007019,false,,,
EVT001847,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT006706,false,,,
EVT002853,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT003233,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT003138,false,,,
EVT001888_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT006834,false,,,
EVT001633,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT003125,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT000819,false,,,
EVT006622,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT006404,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT006208,false,,,
EVT000445,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT003243,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT002237,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT002721,false,,,
EVT003015,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT004449,false,,,
EVT002662,false,,,
EVT000354,false,,,
EVT003726,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT007176,false,,,
EVT002043,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT007219,false,,,
EVT005417,false,,,
EVT000204,false,,,
EVT003700_travel,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT003803,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT006868,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT006971,false,,,
EVT001078,false,,,
EVT001531,false,,,
EVT004300,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT004757,false,,,
EVT007408,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT006039,false,,,
EVT006417,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT006744,false,,,
EVT005895,false,,,
EVT002506,false,,,
EVT000802,true,unusual_time,HIGH,Anomalous event: unusual_time
EVT003476,false,,,
EVT003783,false,,,
EVT004825,true,unusual_location,HIGH,Anomalous event: unusual_location
EVT003633,false,,,
EVT003060,true,unusual_resource,HIGH,Anomalous event: unusual_resource
EVT000527,false,,,
EVT001607,false,,,
EVT002470,false,,,
EVT001578,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT005531,true,impossible_travel,HIGH,Anomalous event: impossible_travel
EVT001500,false,,,
EVT002311,false,,,
EVT004720,false,,,
EVT004969,false,,,
EVT007175,true,excessive_access,HIGH,Anomalous event: excessive_access
EVT002707,true,unusual_time,HIGH,Anomalous event: unusual_time
